id,category,code,name,evidence_type,source,api_endpoint,description,expected_frequency,is_required_evidence,created_at,updated_at,domain,required_fields,domain_id
90109ed9-478d-4dd8-88aa-b04650455cc9,POLICY,EV-1,Data Backup Policy — Compliance,Required,policy_catalog,,,,True,2026-03-26 16:40:45,2026-03-27 05:49:22,,"{""policy_id"": """", ""policy_name"": """", ""policy_version"": """", ""policy_status"": """", ""effective_date"": """", ""review_date"": """", ""approved_by"": """", ""owner"": """", ""backup_scope"": """", ""backup_requirements_defined"": true, ""data_protection_requirements_defined"": true, ""created_time"": """", ""last_updated_time"": """"}",70b4419c-8544-47be-9f13-bc21356bd897
4f7459a5-9217-4597-b98f-b10a75e755cd,DEVOPS_DEVTOOLS,EV-10,Encryption Key Configuration Records — DevOps,Supporting,devtools_catalog,,,,False,2026-03-26 16:40:46,2026-03-27 05:49:22,,"{""key_id"": """", ""key_name"": """", ""key_type"": """", ""key_management_service"": """", ""key_status"": """", ""key_rotation_enabled"": true, ""rotation_interval_days"": 0, ""key_usage"": """", ""access_control_enabled"": true, ""creation_time"": """", ""last_rotation_time"": """", ""expiration_time"": """", ""owner"": """"}",6874f3ab-44fc-4b3e-a95e-bd01e03bf933
077de01c-4521-436d-8eca-c42b92e66eb0,DEVOPS_DEVTOOLS,EV-100,Audit Log Configuration Records — DevOps,Required,devtools_catalog,,,,True,2026-03-26 16:40:46,2026-03-27 05:49:22,,"{""configuration_id"": """", ""system_id"": """", ""system_name"": """", ""environment"": """", ""audit_logging_enabled"": true, ""log_types_captured"": """", ""log_retention_period_days"": 0, ""centralized_logging_enabled"": true, ""tamper_protection_enabled"": true, ""configuration_status"": """", ""last_verified_time"": """", ""created_time"": """", ""last_updated_time"": """", ""owner"": """"}",6874f3ab-44fc-4b3e-a95e-bd01e03bf933
3c0da7a5-c62e-4bc9-8ca9-760e964eefee,POLICY,EV-101,Software Development Lifecycle (SDLC) Procedure — Compliance,Required,policy_catalog,,,,True,2026-03-26 16:40:46,2026-03-27 05:49:22,,"{""procedure_id"": """", ""procedure_name"": """", ""procedure_version"": """", ""procedure_status"": """", ""planning_phase_defined"": true, ""development_phase_defined"": true, ""testing_phase_defined"": true, ""code_review_phase_defined"": true, ""deployment_phase_defined"": true, ""approved_by"": """", ""owner"": """", ""effective_date"": """", ""review_date"": """", ""created_time"": """", ""last_updated_time"": """"}",70b4419c-8544-47be-9f13-bc21356bd897
510f0319-b94b-42b7-9244-3ef506b5011b,ITSM_GRC,EV-102,Change Management / Deployment Approval Records — ITSM,Required,itsm_catalog,,,,True,2026-03-26 16:40:46,2026-03-27 05:49:22,,"{""approval_id"": """", ""change_id"": """", ""release_id"": """", ""system_id"": """", ""approved"": true, ""approver_id"": """", ""approver_role"": """", ""approval_time"": """", ""approval_status"": """", ""pre_deployment_approval"": true, ""comments"": """", ""created_time"": """", ""last_updated_time"": """"}",cd4015e2-8a3f-4f54-a3ee-9dfddb048f84
d2301020-980a-454c-b2c4-7849b1eb11ce,DEVOPS_DEVTOOLS,EV-103,Sprint Planning Records — DevOps,Supporting,devtools_catalog,,,,False,2026-03-26 16:40:46,2026-03-27 05:49:22,,"{""sprint_id"": """", ""project_id"": """", ""sprint_name"": """", ""planning_date"": """", ""sprint_start_date"": """", ""sprint_end_date"": """", ""tasks_defined"": true, ""objectives_defined"": true, ""created_time"": """", ""last_updated_time"": """"}",6874f3ab-44fc-4b3e-a95e-bd01e03bf933
baf7efcb-439b-4dee-a3c6-69f857e8cfe1,DEVOPS_DEVTOOLS,EV-104,Deployment Logs — DevOps,Supporting,devtools_catalog,,,,False,2026-03-26 16:40:47,2026-03-27 05:49:22,,"{""deployment_id"": """", ""release_id"": """", ""system_id"": """", ""environment"": """", ""deployment_time"": """", ""deployment_status"": """", ""deployed_by"": """", ""approved_release"": true, ""rollback_available"": true, ""created_time"": """"}",6874f3ab-44fc-4b3e-a95e-bd01e03bf933
4d1259ac-48a8-4461-a518-e53721134692,DEVOPS_DEVTOOLS,EV-105,Source Code Repository Records — DevOps,Required,devtools_catalog,,,,True,2026-03-26 16:40:47,2026-03-27 05:49:22,,"{""repository_id"": """", ""repository_name"": """", ""commit_id"": """", ""author_id"": """", ""author_name"": """", ""commit_message"": """", ""change_type"": """", ""change_scope"": """", ""linked_ticket_id"": """", ""commit_time"": """", ""branch_name"": """", ""merge_status"": """", ""created_time"": """", ""last_updated_time"": """"}",6874f3ab-44fc-4b3e-a95e-bd01e03bf933
db45387e-39da-4795-967d-21634e281a56,ITSM_GRC,EV-106,Change Request Tickets — ITSM,Required,itsm_catalog,,,,True,2026-03-26 16:40:47,2026-03-27 05:49:22,,"{""ticket_id"": """", ""change_id"": """", ""request_type"": """", ""system_id"": """", ""system_name"": """", ""requested_by"": """", ""business_justification"": """", ""change_description"": """", ""priority"": """", ""status"": """", ""requested_time"": """", ""approval_required"": true, ""created_time"": """", ""last_updated_time"": """"}",cd4015e2-8a3f-4f54-a3ee-9dfddb048f84
cfb24d03-30e0-4950-b0a5-23b37d102ea7,POLICY,EV-107,Network Security Policy — Compliance,Supporting,policy_catalog,,,,False,2026-03-26 16:40:47,2026-03-27 05:49:22,,"{""policy_id"": """", ""policy_name"": """", ""policy_version"": """", ""policy_status"": """", ""waf_requirements_defined"": true, ""internet_facing_protection_defined"": true, ""web_security_controls_defined"": true, ""threat_protection_requirements_defined"": true, ""approved_by"": """", ""owner"": """", ""effective_date"": """", ""review_date"": """", ""created_time"": """", ""last_updated_time"": """"}",70b4419c-8544-47be-9f13-bc21356bd897
